From X, From Y, From Z, To X, To Y, To Z, From Abbreviation, To Abbreviation, Translation Start, Translation Finish, Guess From X, Guess From Y, Guess From Z, Guess To X, Guess To Y, Guess To Z, Guess Start, Guess Finish, Angle From, Angle To, Guess Angle From, Guess Angle To, Divergence Angle From, Divergence Angle To
-28.28427,1,0,20,1,20,L,RF,32.08236,33.82249,-28.99988,2.704049,-1.779372,28.68105,1.859241,4.774198,36.0549,38.04441,-90,45,-93.51115,80.54929,-3.511177,35.5493
20,1,-20,-20,1,-20,RB,LB,42.94851,44.27758,20.17891,2.123138,-20.9614,-19.74329,1.475675,-21.36427,46.90313,47.95214,135,-135,136.0896,-137.2581,1.089663,-2.258108
20,1,20,20,1,-20,RF,RB,65.9131,67.25185,6.447484,1.85278,-28.39471,29.00131,1.123298,1.748031,70.55823,71.49715,45,135,167.207,86.55072,122.207,-48.44929
28.28427,1,0,-20,1,-20,R,LB,76.48,78.23513,21.08287,1.555132,-20.07437,-26.55923,2.604355,-12.03466,81.24982,83.12345,90,-135,133.5963,-114.3765,43.59634,20.62353
20,1,20,-20,1,-20,RF,LB,91.48863,93.37702,29.03389,0.414453,1.046816,-29.02554,1.891416,1.2266,95.2879,96.92059,45,-135,87.9351,-87.58015,42.9351,47.41984
-28.28427,1,0,28.28427,1,0,L,R,102.0891,103.9884,-29.03059,1.415567,1.117847,29.05023,0.8810192,0.1708006,104.7929,106.2237,-90,90,-87.79487,89.66313,2.205046,-0.3368816
20,1,-20,-20,1,20,RB,LF,110.4447,112.342,27.28734,2.259347,-10.21917,-27.13262,2.291874,10.62939,115.4533,117.2811,135,-45,110.531,-68.60691,-24.46897,-23.60691
-20,1,-20,0,1,28.28427,LB,F,122.9209,124.6678,-29.04308,1.436781,-0.6325787,19.76243,1.096324,-21.34726,127.368,129.4355,-135,0,-91.24775,137.2077,43.75226,137.2077
20,1,-20,0,1,28.28427,RB,F,140.2459,141.9991,20.56415,1.017014,20.59624,-20.16219,1.633945,20.97724,143.6291,144.902,135,0,44.95533,-43.86501,-90.04467,-43.86501
0,1,-28.28427,-28.28427,1,0,B,L,149.6039,150.9468,0.6986372,0.242622,-29.15976,-21.75672,1.939902,-19.3601,154.0943,156.5072,180,-90,178.6275,-131.6641,-1.372448,-41.66411
-20,1,20,0,1,-28.28427,LF,B,162.1492,163.8914,-29.04318,1.439308,0.626591,20.00396,2.262586,-21.12724,165.511,167.3871,-45,180,-88.76407,136.5644,-43.76407,-43.43565
-28.28427,1,0,0,1,28.28427,L,F,173.2614,174.6025,-27.40606,1.817793,-9.876092,-20.39719,2.736493,20.75451,179.7867,180.4695,-90,0,-109.8172,-44.50251,-19.81721,-44.50251
0,1,-28.28427,20,1,20,B,RF,185.2363,186.9818,19.3307,2.547873,21.73099,-2.621663,2.329685,-29.0399,188.4651,192.1045,180,45,41.65454,-174.8414,-138.3455,140.1586
-20,1,-20,20,1,20,LB,RF,197.2087,199.1078,-28.72395,1.99596,-4.47181,27.54164,1.601015,9.484285,202.4259,204.1356,-135,45,-98.8489,70.99826,36.1511,25.99825
0,1,28.28427,-20,1,-20,F,LB,210.3819,212.1344,-19.35236,1.74342,21.71173,-18.34917,0.8883397,-22.55032,213.9406,215.2267,0,-135,-41.71164,-140.8648,-41.71164,-5.864812
20,1,20,0,1,-28.28427,RF,B,221.56,223.3025,18.67864,3.55322,22.28178,18.02705,2.335852,-22.80207,224.5964,225.724,45,180,39.97283,141.6705,-5.027184,-38.32949
20,1,-20,-28.28427,1,0,RB,L,231.2686,233.0201,18.74401,0.464111,-22.22729,-27.52413,1.984393,-9.534896,235.2532,236.7522,135,-90,139.8595,-109.1071,4.859461,-19.10709
-20,1,20,-20,1,-20,LF,LB,241.7315,243.0703,-28.99841,1.245074,-1.810668,-15.87792,1.278777,-24.32943,244.67,245.5528,-45,-135,-93.57292,-146.8707,-48.57293,-11.87064
-20,1,-20,28.28427,1,0,LB,R,250.6555,252.3993,-25.53823,0.7924968,-14.0908,28.44454,1.974886,-6.071682,254.81,256.3865,-135,90,-118.8879,102.0493,16.11214,12.04935
20,1,20,-20,1,20,RF,LF,262.9863,264.3262,8.103686,3.104009,-27.94426,-27.39761,1.623188,-9.900532,268.1372,268.8191,45,-45,163.8281,-109.8681,118.8281,-64.86807
28.28427,1,0,0,1,28.28427,R,F,274.9525,276.2893,20.31059,1.73501,20.83658,-20.06024,1.753263,21.07387,277.5201,278.5136,90,0,44.26762,-43.58841,-45.73238,-43.58841
0,1,28.28427,20,1,-20,F,RB,283.2375,284.9819,-29.04706,1.14034,-0.3752961,29.03869,0.848765,-0.9169132,287.9641,289.4514,0,135,-90.74024,91.80855,-90.74024,-43.19146
-28.28427,1,0,0,1,-28.28427,L,B,293.6154,294.9545,-26.23709,2.832548,-12.72942,-1.605954,1.224401,-29.11995,298.3523,299.2339,-90,180,-115.8812,-176.8433,-25.88122,3.156659
0,1,-28.28427,-20,1,20,B,LF,304.0476,305.8044,13.6384,1.045382,25.65302,-28.88771,2.127935,3.159971,308.1894,309.8434,180,-45,27.9973,-83.75735,-152.0027,-38.75735
0,1,-28.28427,0,1,28.28427,B,F,318.79,320.6783,29.04485,0.9817012,0.518605,-29.04865,2.248083,0.2725468,322.0078,323.7389,180,0,88.97707,-89.46244,-91.02293,-89.46244
0,1,28.28427,0,1,-28.28427,F,B,329.5469,331.437,-25.89578,1.641487,13.41687,21.91586,2.017855,-19.18831,333.1765,334.6529,0,180,-62.61086,131.2036,-62.61086,-48.79641
20,1,-20,20,1,20,RB,RF,341.5763,342.908,29.03834,2.094579,0.9393582,17.58087,1.08863,23.14426,346.2246,347.6523,135,45,88.14719,37.22107,-46.85281,-7.778948
0,1,28.28427,-28.28427,1,0,F,L,351.7973,353.1367,3.518118,1.507098,-28.9366,-27.23934,2.801846,-10.35144,356.1549,357.773,0,-90,173.068,-110.8077,173.068,-20.8077
