From X, From Y, From Z, To X, To Y, To Z, From Abbreviation, To Abbreviation, Translation Start, Translation Finish, Guess From X, Guess From Y, Guess From Z, Guess To X, Guess To Y, Guess To Z, Guess Start, Guess Finish, Angle From, Angle To, Guess Angle From, Guess Angle To, Divergence Angle From, Divergence Angle To
20,1,-20,0,1,28.28427,RB,F,31.54996,33.28876,27.55515,3.83422,-9.445248,-20.48896,4.090785,-20.66752,40.84214,42.73797,135,0,108.9205,-135.2486,-26.07951,-135.2486
20,1,20,20,1,-20,RF,RB,71.44313,72.78657,28.58029,4.044896,5.356658,10.7751,3.526828,-26.99619,76.21243,77.89964,45,135,79.38451,158.2414,34.3845,23.24138
-20,1,-20,28.28427,1,0,LB,R,81.52888,83.28262,-28.87058,4.114923,-3.317209,29.04651,3.93019,0.4112121,85.94341,87.69365,-135,90,-96.5545,89.18892,38.4455,-0.8110828
-20,1,20,0,1,-28.28427,LF,B,90.93373,92.68988,-28.19372,4.182304,7.198775,14.03276,3.323693,-25.43546,94.55656,96.27686,-45,180,-75.67656,151.1144,-30.67656,-28.88556
-20,1,-20,20,1,-20,LB,RB,99.97102,101.3104,-26.39875,4.231524,-12.38156,24.90808,3.497761,-15.17774,104.1481,106.4388,-135,135,-115.1275,121.3561,19.87246,-13.64395
0,1,-28.28427,20,1,20,B,RF,110.5929,112.334,19.28759,4.236676,-21.76932,22.36655,3.716689,18.66874,114.3769,116.177,180,45,138.4591,50.14919,-41.54091,5.14921
-20,1,20,20,1,20,LF,RF,119.6091,120.9465,-28.76867,3.912962,-4.154138,12.11845,3.468353,-26.41097,123.1925,126.958,-45,45,-98.21661,155.3524,-53.2166,110.3524
20,1,20,-28.28427,1,0,RF,L,130.6563,132.3978,29.04076,4.247966,-0.7827377,-29.05092,4.387771,-0.1258653,134.7771,136.3828,45,-90,91.54393,-90.24824,46.54392,-0.2486604
0,1,-28.28427,28.28427,1,0,B,R,140.3602,141.6979,17.02132,3.279746,-23.55411,29.05149,4.093085,0.08930581,143.4298,144.3278,180,90,144.1463,89.82388,-35.85367,-0.1758294
20,1,-20,-20,1,20,RB,LF,147.3951,149.2848,29.04826,3.844956,0.2982885,-29.0186,3.466008,1.375963,150.4932,151.9782,135,-45,89.41167,-87.28526,-45.58834,-42.28526
-20,1,-20,20,1,20,LB,RF,155.8167,157.7083,-28.66736,3.860575,-4.85334,28.78765,3.724645,4.019266,159.6823,161.37,-135,45,-99.60897,82.05188,35.39103,37.05188
28.28427,1,0,-20,1,20,R,LF,165.6464,167.4005,27.78215,3.069782,8.717534,-28.41147,3.627155,-6.232296,170.9853,173.1098,90,-45,72.57909,-102.3724,-17.42091,-57.37234
0,1,-28.28427,0,1,28.28427,B,F,177.1102,178.9956,27.97709,3.529371,-8.035942,-28.43754,4.306102,6.105694,181.0617,182.8808,180,0,106.0258,-77.88225,-73.97419,-77.88225
-28.28427,1,0,0,1,-28.28427,L,B,187.0145,188.3533,-25.46947,4.065491,-14.215,21.85314,4.066251,-19.25602,190.4101,192.129,-90,180,-119.1667,131.3851,-29.16673,-48.61493
0,1,28.28427,-28.28427,1,0,F,L,196.0942,197.4367,-20.18519,3.870987,-20.95545,-28.36183,3.817833,-6.473451,199.6632,200.83,0,-90,-136.0726,-102.8572,-136.0726,-12.85722
28.28427,1,0,0,1,28.28427,R,F,204.4494,205.7784,28.17922,3.114564,7.259318,-27.02952,4.244054,-10.89792,209.3994,211.8111,90,0,75.55399,-111.9586,-14.44601,-111.9586
-28.28427,1,0,28.28427,1,0,L,R,215.4628,217.3525,-29.0385,4.354491,-0.929066,27.65834,3.443334,9.117744,218.7387,220.2108,-90,90,-91.83252,71.75488,-1.832483,-18.24512
-20,1,-20,0,1,28.28427,LB,F,224.6907,226.4433,-28.99949,3.779374,-1.787207,23.84911,3.827041,-16.77519,229.5273,231.0414,-135,0,-93.52661,125.1221,41.47338,125.1221
20,1,-20,20,1,20,RB,RF,236.5095,237.8468,25.3797,3.353716,14.3772,-26.40721,3.159521,12.36335,239.2578,242.7758,135,45,60.46914,-64.9119,-74.53087,-109.9119
-20,1,20,20,1,-20,LF,RB,246.7155,248.6046,-28.40328,3.257872,-6.272064,28.5479,3.58035,5.543886,250.459,251.9804,-45,135,-102.4523,79.01018,-57.45232,-55.98982
-20,1,-20,-20,1,20,LB,LF,255.7764,257.1136,-19.8025,2.864808,21.31162,-28.76482,3.488855,4.181452,259.1817,260.6698,-135,-45,-42.89787,-81.72903,92.10213,-36.72903
20,1,20,-20,1,20,RF,LF,264.7798,266.117,20.60558,2.821256,20.55697,-21.87185,3.028759,19.23582,267.693,269.2595,45,-45,45.06767,-48.66907,0.06852804,-3.669065
0,1,28.28427,20,1,-20,F,RB,273.19,274.9424,-25.95667,3.431545,13.29701,28.37124,2.93624,6.427746,278.3795,279.9229,0,135,-62.87497,77.23465,-62.87497,-57.76535
20,1,-20,-20,1,-20,RB,LB,288.3998,289.7428,27.34549,3.050253,10.05116,-26.20466,3.767701,12.79921,291.2928,292.7449,135,-135,69.8185,-63.96761,-65.1815,71.03239
0,1,-28.28427,-28.28427,1,0,B,L,296.7924,298.1285,28.40399,3.02379,6.268673,-28.78739,4.032666,4.02111,301.1812,302.72,180,-90,77.5545,-82.0482,-102.4455,7.951792
28.28427,1,0,-28.28427,1,0,R,L,307.3769,309.2642,28.94567,3.876182,2.531568,-29.02893,3.551839,-1.15367,310.5071,312.7476,90,-90,85.00167,-92.27586,-4.998301,-2.275807
0,1,28.28427,0,1,-28.28427,F,B,316.5266,318.4123,-28.09858,3.424381,7.592384,28.21446,3.175014,7.112158,321.4831,322.8936,0,180,-74.87947,75.85192,-74.87947,-104.1481
20,1,20,0,1,-28.28427,RF,B,326.8806,328.6315,28.53343,3.726299,5.627541,-28.12468,3.851604,-7.487086,330.9682,332.9234,45,180,78.84296,-104.907,33.84296,75.09299
20,1,-20,-28.28427,1,0,RB,L,336.562,338.306,28.80912,3.44423,-3.86678,-28.63722,3.686935,5.027516,342.3057,344.3383,135,-90,97.64459,-80.04269,-37.35541,9.9573
0,1,-28.28427,-20,1,20,B,LF,348.0917,349.8319,-25.41262,4.926806,-14.31771,-23.29032,3.650313,17.52893,352.293,353.5099,180,-45,-119.3973,-53.03389,60.60268,-8.033897
0,1,28.28427,28.28427,1,0,F,R,357.6533,358.994,18.03553,2.804569,-22.79545,28.95984,2.965718,2.349102,360.9357,361.9888,0,90,141.6493,85.36256,141.6493,-4.637472
-28.28427,1,0,0,1,28.28427,L,F,366.8222,368.1607,-28.94839,3.851344,-2.496478,25.8944,4.005711,-13.41959,370.5854,372.7104,-90,0,-94.92893,117.3951,-4.928911,117.3951
28.28427,1,0,-20,1,-20,R,LB,377.9451,379.6899,28.73079,2.682631,4.423159,13.29741,3.298056,25.82932,382.1018,382.9208,90,-135,81.24792,27.24024,-8.752055,162.2402
-20,1,20,-20,1,-20,LF,LB,386.9938,388.3327,-28.51732,3.292491,5.71811,27.18298,3.660279,-10.49824,390.7596,392.2222,-45,-135,-78.66178,111.1169,-33.66178,-113.8831
0,1,28.28427,-20,1,-20,F,LB,396.7334,398.4874,-9.322501,3.561687,27.55042,-27.68817,3.28887,9.021312,401.7147,402.8097,0,-135,-18.69477,-71.95345,-18.69477,63.04655
28.28427,1,0,0,1,-28.28427,R,B,407.2235,408.5644,28.79656,2.927557,3.956009,22.68496,3.460664,18.28994,410.6769,411.544,90,180,82.17779,51.12222,-7.822202,-128.8778
-20,1,20,28.28427,1,0,LF,R,415.3429,417.0845,-26.35522,3.850304,12.47524,28.58885,3.677337,-5.307163,419.3173,420.9727,-45,90,-64.66947,100.5165,-19.66947,10.51653
20,1,20,-20,1,-20,RF,LB,425.1481,427.0376,28.39134,3.278355,-6.330088,-28.70917,3.510151,4.576784,429.9425,431.3926,45,-135,102.569,-80.94219,57.569,54.05781
-28.28427,1,0,20,1,-20,L,RB,436.5628,438.3176,-28.72068,3.783327,-4.494985,28.92448,3.047858,-2.804683,440.4167,442.2152,-90,135,-98.89503,95.53841,-8.895033,-39.46159
-28.28427,1,0,20,1,20,L,RF,447.6728,449.4212,-23.63394,3.342949,17.07372,26.12008,3.49516,12.97535,451.1165,452.3462,-90,45,-54.15477,63.58377,35.84523,18.58377
