From X, From Y, From Z, To X, To Y, To Z, From Abbreviation, To Abbreviation, Translation Start, Translation Finish, Guess From X, Guess From Y, Guess From Z, Guess To X, Guess To Y, Guess To Z, Guess Start, Guess Finish, Angle From, Angle To, Guess Angle From, Guess Angle To, Divergence Angle From, Divergence Angle To
20,1,20,20,1,-20,RF,RB,18.43672,19.77919,23.72962,1.9931,16.94538,18.43758,2.470536,-22.48121,26.90333,28.84897,45,135,54.46928,140.6437,9.469277,5.643683
-20,1,20,20,1,20,LF,RF,50.05808,51.39834,-28.81704,2.489541,-3.808434,28.56033,2.382828,-5.472004,54.21331,57.35083,-45,45,-97.52853,100.8461,-52.52853,55.84612
-20,1,-20,20,1,20,LB,RF,62.68058,64.56469,-29.04903,2.208877,-0.2484442,29.0479,2.611997,0.3209604,66.4787,68.52453,-135,45,-90.49001,89.36695,44.50999,44.36695
20,1,-20,-20,1,-20,RB,LB,72.24158,73.58064,20.30818,1.986079,-20.83886,-19.36818,2.216081,-21.69769,77.64681,79.68101,135,-135,135.7389,-138.2467,0.7388696,-3.246728
0,1,28.28427,28.28427,1,0,F,R,83.76633,85.11102,2.837899,2.219311,-29.02071,15.47544,2.247114,24.58741,88.29244,90.28069,0,90,174.4149,32.18652,174.4149,-57.81347
20,1,-20,0,1,28.28427,RB,F,93.96532,95.7076,28.58342,2.46358,-5.33855,-28.80765,1.671254,-3.877199,101.5823,104.9801,135,0,100.5793,-97.66534,-34.42071,-97.66534
0,1,-28.28427,20,1,20,B,RF,110.3633,112.1046,17.29413,1.823424,-23.35428,11.64339,2.281406,26.62564,117.2532,119.2637,180,45,143.4796,23.61977,-36.52041,-21.38024
-28.28427,1,0,20,1,-20,L,RB,123.0384,124.7954,-28.70787,2.243054,-4.586065,28.61936,2.226441,-5.130782,130.6498,133.3718,-90,135,-99.07628,100.1638,-9.076276,-34.83618
0,1,-28.28427,-28.28427,1,0,B,L,144.953,146.2968,-5.887973,1.960517,-28.52192,-25.25631,2.07816,14.59899,152.4603,154.783,180,-90,-168.3359,-59.97066,11.6641,30.02934
0,1,28.28427,-20,1,-20,F,LB,157.8791,159.6194,-4.760597,2.10274,-28.7475,-10.01445,2.215969,27.29604,169.5716,171.7164,0,-135,-170.5971,-20.14722,-170.5971,114.8528
28.28427,1,0,-28.28427,1,0,R,L,202.9343,204.8249,29.03903,1.750779,-0.8944723,-29.0407,2.278878,0.7866768,206.3643,208.2305,90,-90,91.76429,-88.44831,1.764362,1.551669
28.28427,1,0,0,1,-28.28427,R,B,212.0972,213.4327,28.80239,1.42105,-3.914555,-5.611176,1.324431,-28.58349,218.5722,220.4488,90,180,97.73969,-168.8936,7.73969,11.1064
-20,1,-20,28.28427,1,0,LB,R,226.2005,227.954,-26.97206,1.843564,-11.0476,27.3665,1.514694,-9.990434,233.4298,236.2641,-135,90,-112.2737,110.0552,22.72627,20.05515
0,1,-28.28427,-20,1,20,B,LF,240.0633,241.8107,26.28127,1.712657,-12.63436,-28.95313,1.478088,-2.435352,246.4176,248.7764,180,-45,115.6753,-94.80804,-64.32472,-49.80804
0,1,28.28427,-28.28427,1,0,F,L,253.2319,254.5722,-3.509213,1.477791,-28.9377,-25.16308,1.836687,14.75393,260.09,262.4023,0,-90,-173.0857,-59.61552,-173.0857,30.38448
