From X, From Y, From Z, To X, To Y, To Z, From Abbreviation, To Abbreviation, Translation Start, Translation Finish, Guess From X, Guess From Y, Guess From Z, Guess To X, Guess To Y, Guess To Z, Guess Start, Guess Finish, Angle From, Angle To, Guess Angle From, Guess Angle To, Divergence Angle From, Divergence Angle To
0,1,28.28427,28.28427,1,0,F,R,34.85115,36.18916,-0.4873884,2.602467,-29.16357,29.04413,3.27476,-0.5650463,51.90443,53.43683,0,90,-179.0426,91.11453,-179.0426,1.11452
-28.28427,1,0,28.28427,1,0,L,R,93.43544,95.32108,-29.0444,3.374005,0.5476955,29.05089,2.268328,-0.1278679,97.36929,99.47534,-90,90,-88.91969,90.25219,1.080284,0.2517883
20,1,20,0,1,-28.28427,RF,B,104.4689,106.2098,29.04999,2.481527,-0.1863414,-0.2997745,2.969663,-29.16695,109.7183,111.2506,45,180,90.36752,-179.4112,45.36752,0.5888388
0,1,28.28427,0,1,-28.28427,F,B,115.7714,117.6594,-29.0467,2.416371,0.3989883,22.27082,1.721164,-18.77919,134.5157,138.9729,0,180,-89.21303,130.1382,-89.21303,-49.86176
-28.28427,1,0,20,1,20,L,RF,144.5562,146.3082,-17.18384,1.731349,-23.43507,20.7144,2.021486,-20.44694,156.9004,158.3183,-90,45,-143.7491,134.6277,-53.74914,89.62771
-20,1,20,20,1,20,LF,RF,163.2785,164.6177,0.07845777,1.756655,-29.17094,29.05252,2.350055,0.02257868,172.6696,174.254,-45,45,179.8468,89.95547,-135.1541,44.95547
-28.28427,1,0,0,1,28.28427,L,F,180.0855,181.4252,-29.05184,1.048958,0.06666043,-20.92032,2.123927,20.23873,201.6114,203.2522,-90,0,-89.86854,-45.94873,0.1312212,-45.94873
20,1,20,-20,1,-20,RF,LB,207.8201,209.7074,24.58237,3.130837,15.6947,-22.75495,2.653335,-18.20348,213.204,214.6905,45,-135,57.44367,-128.6591,12.44367,6.340937
20,1,-20,-28.28427,1,0,RB,L,220.3572,222.1062,-0.2003578,1.922892,-29.16875,-29.05,2.158759,-0.185312,225.9567,227.1859,135,-90,-179.6063,-90.36549,45.39356,-0.365305
-20,1,-20,28.28427,1,0,LB,R,232.124,233.8772,-18.97237,2.151055,-22.03691,29.04962,1.652051,0.2102394,252.2184,254.8683,-135,90,-139.2737,89.58534,-4.273702,-0.4149588
-20,1,-20,20,1,20,LB,RF,269.7568,271.6535,-12.33762,2.400743,-26.30614,25.53219,2.190342,14.10171,275.1374,277.3842,-135,45,-154.8734,61.08765,-19.87335,16.08765
-20,1,-20,0,1,28.28427,LB,F,281.773,283.5325,-27.66414,1.419422,9.098997,11.09593,2.270684,-26.86665,293.5305,296.4844,-135,0,-71.79348,157.5594,63.20652,157.5594
20,1,20,20,1,-20,RF,RB,301.1526,302.4923,0.987029,1.573971,-29.15314,29.05171,1.179789,0.07487166,310.5143,311.4059,45,135,178.0609,89.85234,133.0609,-45.14766
0,1,-28.28427,20,1,20,B,RF,316.133,317.8724,2.360576,3.373705,-29.06308,14.9149,3.517999,24.92816,322.8766,323.8606,180,45,175.3565,30.89273,-4.643508,-14.10728
0,1,28.28427,-28.28427,1,0,F,L,328.0842,329.4227,-12.79241,2.101926,26.08859,-29.05216,1.233637,0.04602989,331.5804,332.9202,0,-90,-26.12079,-89.90923,-26.12079,0.09065409
20,1,-20,20,1,20,RB,RF,337.5089,338.8505,29.04194,1.330305,0.7064176,18.04322,2.91954,22.78944,342.9373,343.7518,135,45,88.60661,38.36992,-46.39339,-6.630104
20,1,-20,-20,1,20,RB,LF,347.6751,349.572,29.04818,2.352541,-0.3030942,-29.049,2.775522,0.2497988,351.6391,353.4927,135,-45,90.59782,-89.50732,-44.40219,-44.50731
0,1,-28.28427,28.28427,1,0,B,R,358.0049,359.3479,22.00305,2.640167,-19.08816,29.04522,2.231863,0.4947898,362.4184,363.1026,180,90,130.9424,89.02405,-49.05759,-0.9759852
20,1,-20,-20,1,-20,RB,LB,367.5547,368.8966,24.438,2.007224,-15.91641,-27.55899,4.29936,-9.43416,370.7847,372.4185,135,-135,123.0761,-108.8974,-11.9239,26.10259
0,1,-28.28427,-20,1,20,B,LF,377.2419,378.9916,-0.5333288,1.416035,-29.16274,-20.86127,3.237572,20.29844,382.58,383.6898,180,-45,-178.9523,-45.78343,1.047732,-0.7833468
-20,1,-20,-20,1,20,LB,LF,388.2076,389.5509,-16.55926,1.631505,23.87459,-29.05257,1.268326,0.01949504,393.0215,394.097,-135,-45,-34.74493,-89.96156,100.2551,-44.96156
0,1,28.28427,-20,1,-20,F,LB,397.5901,399.3422,16.40751,2.39661,-23.97864,-29.05075,1.256892,0.1372996,404.5028,406.939,0,-135,145.6179,-89.72922,145.6179,45.27079
28.28427,1,0,0,1,28.28427,R,F,410.7253,412.068,29.04861,2.418952,0.2756515,-0.2593006,2.481134,29.16768,416.2432,417.2035,90,0,89.45632,-0.5093729,-0.5439265,-0.5093729
28.28427,1,0,0,1,-28.28427,R,B,421.6323,422.9677,18.93204,2.009412,-22.07053,13.27682,2.17942,25.83997,429.3897,430.5453,90,180,139.3771,27.19453,49.37711,-152.8055
