From X, From Y, From Z, To X, To Y, To Z, From Abbreviation, To Abbreviation, Translation Start, Translation Finish, Guess From X, Guess From Y, Guess From Z, Guess To X, Guess To Y, Guess To Z, Guess Start, Guess Finish, Angle From, Angle To, Guess Angle From, Guess Angle To, Divergence Angle From, Divergence Angle To
-20,1,-20,0,1,28.28427,LB,F,21.66663,23.40954,-18.76138,2.159241,-22.2128,22.80846,3.731219,18.13738,30.22087,35.1251,-135,0,-139.8149,51.50814,-4.814912,51.50814
0,1,28.28427,28.28427,1,0,F,R,47.41243,48.75069,20.97018,3.159395,20.18832,16.27544,2.836484,-24.0692,59.86461,61.73121,0,90,46.08828,145.9337,46.08828,55.93369
20,1,20,20,1,-20,RF,RB,67.23643,68.58005,29.05019,3.249175,-0.1730222,-1.10501,3.615025,-29.14682,76.48501,78.89868,45,135,90.34125,-177.8289,45.34125,47.17115
20,1,20,-20,1,20,RF,LF,84.28189,85.62071,20.39634,3.518131,20.7553,-14.63183,2.378923,25.09748,94.07791,96.89333,45,-45,44.50023,-30.24218,-0.5000685,14.75781
28.28427,1,0,0,1,28.28427,R,F,101.482,102.8212,29.04307,2.705868,-0.6333397,0.3775644,4.09808,29.16555,108.5192,109.8038,90,0,91.24924,0.7415132,1.249292,0.7415132
0,1,-28.28427,28.28427,1,0,B,R,113.88,115.2093,-15.8566,2.645892,-24.3431,21.83951,2.312636,-19.27073,118.2031,120.1003,180,90,-146.9206,131.4245,33.07941,41.42452
28.28427,1,0,-20,1,-20,R,LB,129.0315,130.7694,29.04747,3.147948,-0.3493432,-29.04689,3.151948,-0.3864527,132.8689,134.6918,90,-135,90.68904,-90.76225,0.6889865,44.23776
20,1,-20,-20,1,-20,RB,LB,138.9913,140.331,1.402054,4.597683,-29.13089,-29.05141,4.992109,-0.09412782,152.1931,153.5331,135,-135,177.2445,-90.18564,42.24451,44.81436
28.28427,1,0,0,1,-28.28427,R,B,161.3502,162.6925,-29.04782,3.535589,-0.3268128,-0.8577948,4.299312,29.15689,178.6034,180.0368,90,180,-90.6446,-1.685163,179.3553,178.3148
20,1,-20,-20,1,20,RB,LF,184.1596,186.0494,29.05104,4.123585,-0.1182086,-29.04465,3.120784,0.5310736,189.2185,190.7828,135,-45,90.23314,-88.95248,-44.76687,-43.95248
20,1,-20,0,1,28.28427,RB,F,195.8867,197.6311,-0.4613348,3.55242,-29.16404,19.21724,3.424139,21.83185,208.3517,209.6253,135,0,-179.0937,41.35548,45.90627,41.35548
