From X, From Y, From Z, To X, To Y, To Z, From Abbreviation, To Abbreviation, Translation Start, Translation Finish, Guess From X, Guess From Y, Guess From Z, Guess To X, Guess To Y, Guess To Z, Guess Start, Guess Finish, Angle From, Angle To, Guess Angle From, Guess Angle To, Divergence Angle From, Divergence Angle To
28.28427,1,0,-20,1,20,R,LF,11.60618,13.35758,28.91821,3.362272,-2.880091,-28.84248,2.848856,-3.57504,16.50592,18.36904,90,-45,95.68758,-97.0658,5.687582,-52.0658
20,1,20,20,1,-20,RF,RB,22.86006,24.20292,28.85974,3.257005,-3.41666,-23.20641,3.149445,-17.64009,27.92162,30.03023,45,135,96.75173,-127.2399,51.75173,97.76014
0,1,28.28427,0,1,-28.28427,F,B,34.05434,35.93967,15.72193,3.425565,-24.42942,-0.2773216,3.503422,29.16736,44.02027,45.30283,0,180,147.2361,-0.5446455,147.2361,179.4554
20,1,20,-20,1,20,RF,LF,54.92798,56.27044,15.19214,3.725353,-24.76233,-22.64505,3.519392,-18.33922,60.77129,62.83696,45,-45,148.4701,-129.0025,103.4701,-84.00247
-20,1,-20,28.28427,1,0,LB,R,65.68653,67.42754,-22.97899,2.968892,-17.92674,24.33443,4.029315,-16.07546,69.16998,71.23718,-135,90,-127.9591,123.449,7.040911,33.44897
-20,1,-20,20,1,20,LB,RF,74.38623,76.2722,-27.07845,2.939104,-10.77048,12.51015,3.517155,26.22361,80.91992,85.32082,-135,45,-111.6902,25.50379,23.30977,-19.4962
20,1,20,0,1,-28.28427,RF,B,88.69495,90.44735,28.70243,3.276778,4.624651,-7.794778,3.667094,-28.03597,95.9327,97.5869,45,180,80.84694,-164.4626,35.84695,15.53742
0,1,28.28427,28.28427,1,0,F,R,101.9862,103.325,-15.62727,3.259715,-24.49009,20.87502,3.335652,-20.28454,105.1367,106.9743,0,90,-147.4578,134.1781,-147.4578,44.17809
-20,1,-20,0,1,28.28427,LB,F,110.0533,111.7916,-20.80065,3.145697,20.35974,-1.245866,3.374385,-29.13927,114.487,115.7459,-135,0,-45.61372,-177.5518,89.38627,-177.5518
20,1,-20,-20,1,-20,RB,LB,119.1415,120.4844,17.41259,2.624342,-23.26752,-21.86182,2.694234,-19.24665,122.3711,124.1567,135,-135,143.1901,-131.36,8.190096,3.640025
20,1,-20,-20,1,20,RB,LF,126.7157,128.6125,7.022915,3.324069,-28.24849,-28.09601,3.259691,7.601775,132.5457,134.2331,135,-45,166.0386,-74.8603,31.03863,-29.8603
0,1,28.28427,20,1,-20,F,RB,137.0568,138.8026,18.27095,3.212021,-22.61145,18.45202,2.845065,22.46993,141.7038,143.1453,0,135,141.0604,39.3924,141.0604,-95.6076
0,1,28.28427,-20,1,-20,F,LB,146.4735,148.2178,0.05083185,2.156017,-29.17144,-26.58126,3.820729,11.98264,151.0638,152.7401,0,-135,179.9011,-65.7345,179.9011,69.2655
0,1,-28.28427,28.28427,1,0,B,R,155.6438,156.987,11.73675,2.481895,-26.5845,18.36146,3.218851,22.54071,159.7336,160.9606,180,90,156.1791,39.16595,-23.82091,-50.83405
0,1,-28.28427,-20,1,20,B,LF,164.3482,166.0985,7.713497,3.044698,-28.0601,-27.18254,2.491076,10.49937,168.187,169.672,180,-45,164.6295,-68.88075,-15.3705,-23.88076
-20,1,-20,-20,1,20,LB,LF,172.9236,174.2629,-6.545008,2.712516,-28.37254,-29.01486,3.058131,-1.456539,177.1478,178.1065,-135,-45,-167.0102,-92.87383,-32.01018,-47.87382
20,1,20,-28.28427,1,0,RF,L,181.7251,183.4787,26.53685,2.964604,-12.08441,-23.41711,2.908588,-17.36096,185.0323,186.6393,45,-90,114.4837,-126.5525,69.48367,-36.55247
20,1,-20,-28.28427,1,0,RB,L,189.8248,191.5755,22.07303,3.156397,-19.00741,-23.41552,3.217777,-17.36307,193.1069,194.7253,135,-90,130.7322,-126.5577,-4.267786,-36.55767
