From X, From Y, From Z, To X, To Y, To Z, From Abbreviation, To Abbreviation, Translation Start, Translation Finish, Guess From X, Guess From Y, Guess From Z, Guess To X, Guess To Y, Guess To Z, Guess Start, Guess Finish, Angle From, Angle To, Guess Angle From, Guess Angle To, Divergence Angle From, Divergence Angle To
20,1,-20,0,1,28.28427,RB,F,24.5424,26.28239,17.53397,2.907719,23.17862,21.054,1.811152,-20.10356,34.2935,35.23385,135,0,37.10648,133.6771,-97.89353,133.6771
-28.28427,1,0,20,1,20,L,RF,39.57553,41.31664,-27.55168,3.701632,-9.455286,28.74948,1.91039,-4.290439,43.56125,45.80137,-90,45,-108.9414,98.48792,-18.94139,53.48792
20,1,-20,20,1,20,RB,RF,50.02289,51.36046,24.21902,0.8605092,-16.24833,15.28564,2.480374,24.7064,52.76327,53.5009,135,45,123.8573,31.74472,-11.14269,-13.25527
-28.28427,1,0,28.28427,1,0,L,R,56.29412,58.18059,-29.04818,2.042957,0.3029847,29.05109,2.142787,0.1150175,58.79774,60.11427,-90,90,-89.4024,89.77316,0.5977437,-0.2264194
0,1,-28.28427,28.28427,1,0,B,R,63.66655,65.00909,20.78227,1.947093,-20.37832,-13.28579,3.414316,-25.83533,69.59843,70.65469,180,90,134.4377,-152.7856,-45.56228,117.2144
0,1,28.28427,-28.28427,1,0,F,L,74.19816,75.54261,-25.25556,2.755983,-14.60022,-25.73539,3.506658,13.73258,76.95953,77.62802,0,-90,-120.0322,-61.91532,-120.0322,28.08468
-28.28427,1,0,20,1,-20,L,RB,81.2123,82.95707,-26.77995,2.590029,-11.5135,12.82095,2.570445,-26.07494,85.54962,86.34229,-90,135,-113.2643,153.8168,-23.26432,18.81683
20,1,20,-20,1,-20,RF,LB,89.86906,91.76004,29.01773,1.009205,-1.394635,-28.37244,2.512214,-6.421919,93.47798,94.70853,45,-135,92.75161,-102.7536,47.7516,32.24637
-20,1,-20,20,1,-20,LB,RB,98.49397,99.83347,4.113187,0.520925,-28.85146,28.18337,1.84651,-7.242012,106.4602,107.0933,-135,135,171.8863,104.411,-53.11366,-30.58904
20,1,20,-28.28427,1,0,RF,L,124.1955,125.9356,28.9624,1.076077,2.31582,-29.03749,1.530236,0.9694666,127.6099,128.5608,45,-90,85.42839,-88.08779,40.42839,1.912234
-20,1,-20,0,1,28.28427,LB,F,132.4632,134.2133,-29.02982,1.951298,1.134419,-0.4303361,2.488036,29.1646,135.7383,136.4696,-135,0,-87.76215,-0.8453411,47.23785,-0.8453411
-20,1,20,28.28427,1,0,LF,R,140.3333,142.0895,-24.87325,3.089167,15.23562,17.32225,2.641855,23.33369,144.9119,145.6408,-45,90,-58.51127,36.58911,-13.51128,-53.41089
-20,1,20,0,1,-28.28427,LF,B,149.1684,150.9282,-28.30618,1.837498,-6.729144,-6.343043,0.8750747,-28.41846,153.8491,154.5095,-45,180,-103.3725,-167.4177,-58.37253,12.58227
20,1,-20,-20,1,20,RB,LF,158.0488,159.9353,29.0132,0.7223353,-1.492174,-29.04425,1.754418,-0.5571253,160.7619,162.0132,135,-45,92.94418,-91.09892,-42.05582,-46.09891
0,1,-28.28427,20,1,20,B,RF,166.2121,167.9579,21.96718,2.337086,19.12955,24.56678,0.1563091,-15.71864,169.7894,170.4702,180,45,48.94987,122.6125,-131.0501,77.61246
0,1,28.28427,0,1,-28.28427,F,B,174.8478,176.7458,0.4122721,2.0278,29.16493,-0.6110823,1.768221,-29.16134,177.5278,182.5474,0,180,0.8096339,-178.7996,0.8096339,1.200404
20,1,-20,-20,1,-20,RB,LB,186.1241,187.4612,13.0941,0.8487309,-25.93445,-5.50848,1.967295,-28.60329,189.5514,190.0727,135,-135,153.2112,-169.0993,18.21114,-34.09931
0,1,-28.28427,-28.28427,1,0,B,L,193.8266,195.1644,-5.66583,1.307758,-28.57243,-28.98646,1.740599,-2.005678,196.7285,197.2639,180,-90,-168.7839,-93.95819,11.21609,-3.958195
-28.28427,1,0,0,1,28.28427,L,F,201.758,203.0971,-28.96209,0.3807778,2.319896,-2.00473,2.862457,29.09466,204.603,205.0745,-90,0,-85.42032,-3.941686,4.579667,-3.941686
0,1,-28.28427,0,1,28.28427,B,F,208.0048,209.8918,0.1046428,1.980068,-29.17047,1.094913,3.725241,29.14736,211.898,212.8719,180,0,179.7935,2.151223,-0.2065338,2.151223
20,1,20,-20,1,20,RF,LF,216.1091,217.447,29.04139,1.595308,0.7421933,-18.19905,1.065135,-22.66764,219.0915,221.6188,45,-45,88.53605,-141.2402,43.53605,-96.24023
0,1,28.28427,20,1,-20,F,RB,227.2225,228.9658,28.84635,1.066635,-3.539524,16.6103,1.591369,23.8396,230.3401,230.9204,0,135,96.99538,34.86694,96.99538,-100.1331
28.28427,1,0,0,1,28.28427,R,F,234.3812,235.7106,27.73902,2.851509,-8.856962,9.428806,4.066905,-27.51133,237.0619,237.6988,90,0,107.7081,161.0822,17.70809,161.0822
20,1,-20,-28.28427,1,0,RB,L,242.011,243.7557,7.789084,2.847325,-28.03766,-21.60811,2.146692,-19.52053,246.5981,247.1088,135,-90,164.4743,-132.0943,29.47429,-42.09431
0,1,-28.28427,-20,1,20,B,LF,250.4661,252.2183,-14.41364,1.736814,-25.22334,-21.87794,3.283116,19.22924,253.9916,254.6161,180,-45,-150.2546,-48.68671,29.74542,-3.68674
-20,1,20,-20,1,-20,LF,LB,258.049,259.3924,-21.70057,2.361998,19.42072,-27.20972,2.615613,-10.42859,260.6772,261.2104,-45,-135,-48.17336,-110.9702,-3.173422,24.02983
28.28427,1,0,-20,1,20,R,LF,264.6611,266.4064,27.82076,2.23808,-8.592717,-3.085882,2.705585,-28.99005,267.4444,268.1272,90,-45,107.1638,-173.9239,17.16382,-128.924
20,1,20,20,1,-20,RF,RB,273.8656,275.2018,28.98618,0.9752259,-2.009317,25.31496,2.742605,14.49414,276.6012,277.1052,45,135,93.96539,60.2066,48.96539,-74.7934
-20,1,-20,28.28427,1,0,LB,R,281.427,283.1704,-18.80467,1.284199,22.17671,14.12725,2.643841,25.38283,284.6324,285.1348,-135,90,-40.29617,29.09888,94.70383,-60.90112
28.28427,1,0,-28.28427,1,0,R,L,288.6886,290.5774,28.99861,0.5582405,-1.80633,-29.05172,1.478305,0.07462027,291.4615,292.6978,90,-90,93.56436,-89.85284,3.564362,0.1467098
-20,1,20,20,1,20,LF,RF,297.4318,298.7738,-23.41334,1.780845,-17.36595,9.354929,1.376285,-27.53849,300.6286,301.238,-45,45,-126.5648,161.2372,-81.56477,116.2372
0,1,28.28427,-20,1,-20,F,LB,307.6646,309.4182,-6.860204,1.11518,-28.29112,-29.04362,2.934839,-0.5975304,312.0543,312.5589,0,-135,-166.3697,-91.17861,-166.3697,43.82139
0,1,28.28427,28.28427,1,0,F,R,316.2473,317.5818,24.32066,2.072552,-16.09662,29.04732,2.475084,0.3590278,319.1794,319.5717,0,90,123.4986,89.29185,123.4986,-0.7080355
-20,1,20,20,1,-20,LF,RB,323.1916,325.0821,-29.04359,2.328174,0.599929,29.04004,1.558614,0.8290348,325.7142,326.9778,-45,135,-88.81666,88.36477,-43.81666,-46.63523
-20,1,-20,-20,1,20,LB,LF,331.5243,332.8611,-28.67678,1.591557,4.798858,-20.57205,2.398515,20.58875,334.1275,334.4613,-135,-45,-80.49998,-44.97676,54.50003,0.02797646
20,1,20,0,1,-28.28427,RF,B,338.4592,340.2086,29.04808,1.8894,-0.3092979,9.845627,5.219965,-27.3581,340.9407,341.411,45,180,90.61005,160.2072,45.61005,-19.79279
-20,1,-20,20,1,20,LB,RF,345.7634,347.6515,-29.04769,1.290062,0.3347448,29.04352,2.063691,0.6046125,348.2111,349.5161,-135,45,-89.33976,88.80742,45.66025,43.80742
28.28427,1,0,0,1,-28.28427,R,B,353.9097,355.2461,28.71565,-0.6658521,-4.530781,8.819125,1.072306,-27.71764,356.5109,357.0847,90,180,98.96626,162.3501,8.966266,-17.64989
28.28427,1,0,-20,1,-20,R,LB,368.6163,370.3735,29.03689,0.8672885,-0.9822661,-19.1296,1.687392,-21.90583,371.6652,372.8164,90,-135,91.93748,-138.8704,1.937449,-3.870447
-28.28427,1,0,0,1,-28.28427,L,B,377.8692,379.2063,-27.68987,1.388627,-9.015837,-7.80822,1.588434,-28.03198,380.6121,381.1712,-90,180,-108.0353,-164.435,-18.03527,15.56502
