From X, From Y, From Z, To X, To Y, To Z, From Abbreviation, To Abbreviation, Translation Start, Translation Finish, Guess From X, Guess From Y, Guess From Z, Guess To X, Guess To Y, Guess To Z, Guess Start, Guess Finish, Angle From, Angle To, Guess Angle From, Guess Angle To, Divergence Angle From, Divergence Angle To
-28.28427,1,0,20,1,20,L,RF,14.68158,16.42558,-29.04721,1.91365,0.3659277,20.92605,1.227531,-20.23294,18.62538,20.83671,-90,45,-89.27824,134.0352,0.7217214,89.03526
-20,1,-20,20,1,20,LB,RF,24.8804,26.77673,-21.04593,1.136661,-20.11172,29.04786,1.412116,0.324192,29.74916,31.30223,-135,45,-133.6997,89.36057,1.300256,44.36057
0,1,-28.28427,0,1,28.28427,B,F,40.33757,42.23654,-0.9941854,1.816385,-29.15276,-0.4062127,2.763491,29.16503,44.60373,45.90009,180,0,-178.0469,-0.7979487,1.953144,-0.7979487
28.28427,1,0,-20,1,-20,R,LB,49.83192,51.57626,21.05102,1.618886,-20.10657,-20.79571,1.13125,-20.36473,53.76616,55.70864,90,-135,133.6855,-134.4001,43.68546,0.6000308
20,1,20,20,1,-20,RF,RB,59.71687,61.05618,29.05233,2.326285,0.03495274,0.297687,1.304781,-29.16699,64.00811,65.30098,45,135,89.93107,179.4152,44.93107,44.41525
0,1,28.28427,28.28427,1,0,F,R,76.75043,78.09221,0.936487,2.200305,-29.15547,29.05093,2.155694,-0.1254814,82.06707,83.09669,0,90,178.1603,90.24748,178.1603,0.2470816
-20,1,-20,0,1,28.28427,LB,F,90.35585,92.11303,-29.04659,0.9307393,0.4064152,0.1093772,1.14404,-29.17039,96.53169,97.70299,-135,0,-89.19838,179.786,45.80162,179.786
20,1,20,-28.28427,1,0,RF,L,106.3833,108.1363,21.7598,0.9537983,-19.35678,-29.04943,1.022472,0.2219929,111.3978,112.8159,45,-90,131.6552,-89.56216,86.6552,0.4379019
-28.28427,1,0,28.28427,1,0,L,R,117.5307,119.417,-29.01743,1.846163,1.401236,29.04072,1.639029,0.7855051,120.2793,121.378,-90,90,-87.23537,88.45062,2.764633,-1.549271
-20,1,-20,20,1,-20,LB,RB,124.9949,126.3301,-21.77361,2.448609,-19.34187,29.03964,1.997727,0.8551641,130.4191,131.7295,-135,135,-131.6152,88.31323,3.384834,-46.68677
20,1,-20,-28.28427,1,0,RB,L,136.3658,138.1045,20.2761,1.478959,20.86927,-29.04324,0.5727749,0.6225784,143.2437,144.3938,135,-90,44.17406,-88.77198,-90.82594,1.227964
20,1,20,-20,1,20,RF,LF,149.14,150.4822,19.72624,0.7651407,21.37942,-29.01849,1.678032,1.378393,153.2504,154.4804,45,-45,42.69694,-87.28047,-2.303078,-42.28047
20,1,-20,20,1,20,RB,RF,159.6392,160.9794,29.05202,0.9749642,-0.05495903,0.04009277,1.554564,-29.17164,165.6041,166.7785,135,45,90.10839,179.9234,-44.89161,134.9213
