From X, From Y, From Z, To X, To Y, To Z, From Abbreviation, To Abbreviation, Translation Start, Translation Finish, Guess From X, Guess From Y, Guess From Z, Guess To X, Guess To Y, Guess To Z, Guess Start, Guess Finish, Angle From, Angle To, Guess Angle From, Guess Angle To, Divergence Angle From, Divergence Angle To
-20,1,-20,20,1,20,LB,RF,39.71933,41.60712,-29.03961,1.6408,0.8568682,29.05239,1.415723,0.03126525,56.90051,58.93457,-135,45,-88.30988,89.93834,46.69013,44.93834
28.28427,1,0,0,1,-28.28427,R,B,69.48623,70.8259,29.0524,1.163299,0.03042285,0.02944428,1.79754,-29.17183,78.12409,79.62698,90,180,89.94,179.9407,-0.05934703,-0.05934703
-20,1,-20,28.28427,1,0,LB,R,84.70973,86.466,-22.44935,1.960525,-18.57321,29.05061,1.951038,-0.1460355,92.15167,94.43668,-135,90,-129.6022,90.28802,5.397754,0.2873554
0,1,-28.28427,0,1,28.28427,B,F,98.9538,100.8386,-0.2110887,1.472872,-29.16855,0.08778089,1.72096,29.17078,105.1519,108.6398,180,0,-179.5855,0.1724585,0.414487,0.1724585
20,1,-20,20,1,20,RB,RF,113.0372,114.3775,21.31683,2.077843,-19.83497,21.55583,1.55583,19.57696,121.4631,122.9223,135,45,132.9377,47.75433,-2.06232,2.754348
0,1,28.28427,20,1,-20,F,RB,128.1597,129.9193,2.134993,2.375717,-29.0831,18.96115,1.806356,22.04626,132.2504,133.3667,0,135,175.8014,40.69758,175.8014,-94.30243
-20,1,-20,20,1,-20,LB,RB,137.1864,138.528,-21.82113,1.914259,-19.29058,22.00475,1.362394,-19.08619,149.3592,150.6494,-135,135,-131.4777,130.9373,3.522256,-4.062739
-28.28427,1,0,20,1,20,L,RF,155.1902,156.9438,-29.04824,1.42931,-0.2993886,19.0547,1.633719,21.96827,158.0882,159.4577,-90,45,-90.59051,40.93751,-0.590498,-4.062499
-20,1,-20,0,1,28.28427,LB,F,163.4222,165.1689,-24.13182,1.706224,-16.37255,-0.3157322,1.621441,29.16667,167.4014,168.5941,-135,0,-124.1554,-0.6202354,10.84455,-0.6202354
0,1,-28.28427,-28.28427,1,0,B,L,173.0848,174.4233,0.9680955,1.381428,-29.15416,-29.04294,1.613764,-0.6416519,179.0845,180.26,180,-90,178.0981,-91.26565,-1.901869,-1.265632
0,1,-28.28427,20,1,20,B,RF,184.2874,186.0292,-0.1279227,1.283335,-29.17005,22.51691,2.167132,18.49526,190.723,192.239,180,45,-179.749,50.60051,0.25101,5.600527
28.28427,1,0,-28.28427,1,0,R,L,197.5581,199.4448,29.04962,0.9728605,-0.2100608,-29.04395,2.267307,-0.5765914,203.4794,204.8865,90,-90,90.4143,-91.13731,0.4140146,-1.137288
20,1,20,-20,1,-20,RF,LB,209.9895,211.8876,19.77821,1.762834,21.3332,-22.09118,1.682552,-18.98647,220.7456,225.4446,45,-135,42.83389,-130.6777,-2.166092,4.322323
-28.28427,1,0,0,1,28.28427,L,F,274.3138,275.6545,-29.04614,1.407301,0.4348091,-0.08503044,1.997813,29.17083,277.8207,280.2206,-90,0,-89.14237,-0.166689,0.8575217,-0.166689
-20,1,20,20,1,20,LF,RF,283.5435,284.8827,-19.14111,1.79873,21.89623,23.82049,2.166126,16.81595,288.9475,290.1521,-45,45,-41.1591,54.78002,3.84094,9.780019
20,1,-20,-20,1,-20,RB,LB,294.0532,295.3895,20.73807,1.742554,-20.42301,-18.36732,0.9775637,-22.53613,297.2555,298.4013,135,-135,134.5615,-140.8194,-0.4387946,-5.819384
-28.28427,1,0,20,1,-20,L,RB,302.8529,304.5954,-29.05181,1.439987,0.06857568,20.92347,1.445166,-20.23555,309.2382,310.8595,-90,135,-89.86476,134.0425,0.1341704,-0.9575664
0,1,28.28427,-20,1,-20,F,LB,313.9102,315.6639,8.78486,1.708736,-27.72901,-28.61761,1.55306,5.140923,328.5334,330.2864,0,-135,162.4212,-79.8159,162.4212,55.18411
20,1,-20,0,1,28.28427,RB,F,334.5977,336.351,20.8276,1.879979,-20.33248,0.01689438,2.12194,29.17205,339.8227,341.5675,135,0,134.3108,0.03426402,-0.6892704,0.03426402
20,1,20,-20,1,20,RF,LF,344.8274,346.17,18.09597,2.916296,22.74821,-18.63971,2.638542,22.31424,350.6151,351.5732,45,-45,38.50189,-39.87296,-6.498148,5.127055
20,1,20,-28.28427,1,0,RF,L,355.807,357.5508,29.04923,1.573451,-0.2349888,-18.29635,2.420022,-22.5916,365.7383,370.6407,45,-90,90.46347,-140.9969,45.46347,-50.99688
