From X, From Y, From Z, To X, To Y, To Z, From Abbreviation, To Abbreviation, Translation Start, Translation Finish, Guess From X, Guess From Y, Guess From Z, Guess To X, Guess To Y, Guess To Z, Guess Start, Guess Finish, Angle From, Angle To, Guess Angle From, Guess Angle To, Divergence Angle From, Divergence Angle To
-20,1,-20,28.28427,1,0,LB,R,26.51424,28.25525,-20.24814,2.256624,-20.89578,22.21037,0.65495,-18.84894,35.28157,36.56579,-135,90,-135.9018,130.3198,-0.902006,40.31977
-20,1,20,20,1,-20,LF,RB,41.1553,43.05305,-19.46105,3.273556,-21.61514,29.05216,1.87231,-0.04562552,45.52447,47.45741,-45,135,-138.0019,90.08998,-93.00192,-44.91002
20,1,20,20,1,-20,RF,RB,51.26426,52.59824,22.91741,2.118613,-18.00282,0.4981298,1.792358,-29.16338,56.08113,56.83724,45,135,128.1515,179.0214,83.15147,44.02145
28.28427,1,0,0,1,-28.28427,R,B,61.41742,62.75976,22.67198,1.43686,-18.30596,-0.957007,0.9225122,-29.15476,65.66382,66.29869,90,180,128.9183,-178.1199,38.91833,1.880136
20,1,-20,-20,1,-20,RB,LB,70.56367,71.91698,23.22061,1.766536,-17.62127,-22.81204,0.6277404,-18.13297,74.18524,75.2001,135,-135,127.1935,-128.4807,-7.806502,6.519328
-28.28427,1,0,0,1,-28.28427,L,B,80.18188,81.52439,-24.18094,1.370697,-16.30259,0.3006996,1.637849,-29.16694,83.94763,84.74993,-90,180,-123.9875,179.4095,-33.98752,-0.590498
0,1,28.28427,0,1,-28.28427,F,B,89.34206,91.22779,-0.1358648,1.16012,-29.16991,-0.03546702,1.409983,29.17172,93.73288,95.18285,0,180,-179.7331,-0.06852804,-179.7331,179.9315
20,1,20,-20,1,-20,RF,LB,102.5659,104.4568,18.52565,2.445139,-22.40932,-29.03729,-0.06240797,0.9736503,106.7667,108.1311,45,-135,140.4197,-88.07953,95.41967,46.92047
28.28427,1,0,0,1,28.28427,R,F,112.6187,113.9608,21.89863,1.895518,-19.2069,0.7352719,1.416158,-29.1591,118.6728,119.7065,90,0,131.2534,178.5555,41.25343,178.5555
0,1,28.28427,-28.28427,1,0,F,L,124.1343,125.4786,-19.76622,0.6316517,-21.34389,-29.04775,1.119264,-0.3306707,127.8126,128.7359,0,-90,-137.1978,-90.65221,-137.1978,-0.652221
-20,1,-20,20,1,-20,LB,RB,132.2323,133.5737,-24.57568,1.235277,-15.70497,20.48888,1.122801,-20.66759,135.6709,136.9811,-135,135,-122.5804,135.2488,12.41959,0.249446
-20,1,20,28.28427,1,0,LF,R,141.0323,142.7781,-22.18453,1.666489,-18.87876,29.0433,1.367034,0.618351,144.4324,146.8969,-45,90,-130.3974,88.78032,-85.39736,-1.219649
-20,1,20,0,1,-28.28427,LF,B,151.7005,153.4449,-22.66437,1.01176,-18.31536,0.007026514,1.349585,-29.17223,156.259,157.0381,-45,180,-128.9421,179.9802,-83.94211,-0.01978234
-28.28427,1,0,20,1,20,L,RF,161.6182,163.3737,-19.30732,1.00024,-21.75178,29.03383,1.763493,1.048121,165.4169,167.3289,-90,45,-138.4071,87.93252,-48.4071,42.93252
28.28427,1,0,-20,1,-20,R,LB,172.6991,174.4433,22.86976,1.69027,-18.06167,-20.2127,1.358265,-20.92938,179.257,180.8853,90,-135,128.3003,-135.998,38.30033,-0.997992
0,1,-28.28427,-28.28427,1,0,B,L,184.3297,185.6664,-15.73699,1.044542,-24.41976,-29.05177,1.521815,0.07066783,187.4326,188.0682,180,-90,-147.2008,-89.86063,32.79921,0.1398823
0,1,28.28427,-20,1,-20,F,LB,191.2767,193.0301,-0.01627397,2.461951,-29.17207,-29.05247,1.880634,0.02565016,194.5702,195.8556,0,-135,-179.9657,-89.94941,-179.9657,45.05059
-20,1,20,20,1,20,LF,RF,199.5442,200.8816,-26.24525,2.014191,-12.71187,20.47569,1.748357,-20.68009,203.7846,204.7471,-45,45,-115.8432,135.2846,-70.84319,90.28456
-28.28427,1,0,20,1,-20,L,RB,209.189,210.9318,-23.3715,0.9428711,-17.42138,29.05167,1.76823,-0.07734219,212.5429,214.3658,-90,135,-126.7013,90.15253,-36.70125,-44.84747
-20,1,20,-20,1,-20,LF,LB,218.5817,219.9262,-17.67634,1.216115,-23.07434,-21.12499,2.478183,20.03178,223.7667,224.8463,-45,-135,-142.5457,-46.52154,-97.5457,88.47846
-28.28427,1,0,0,1,28.28427,L,F,231.0665,232.4008,-29.05031,0.4575672,-0.1655819,-16.13783,1.409804,-24.16284,235.2154,236.9008,-90,0,-90.32658,-146.2619,-0.3262592,-146.2619
20,1,-20,20,1,20,RB,RF,240.4866,241.8341,29.0435,1.239294,0.6055081,1.280534,1.839336,-29.1374,245.3009,246.8117,135,45,88.80566,177.4836,-46.19435,132.4836
-28.28427,1,0,28.28427,1,0,L,R,251.0534,252.9412,-19.88466,1.657443,-21.23861,29.03896,1.395433,0.8992346,254.6523,257.8287,-90,90,-136.8857,88.22632,-46.88573,-1.773654
28.28427,1,0,-20,1,20,R,LF,262.3904,264.1456,22.08465,2.219986,-18.99401,-17.64038,2.371931,-23.10068,269.6973,271.2297,90,-45,130.6973,-142.6335,40.69733,-97.63354
-20,1,-20,0,1,28.28427,LB,F,275.6961,277.4359,-25.53064,1.478703,-14.10451,19.85159,3.414213,-21.268,280.0966,280.9319,-135,0,-118.9186,136.9728,16.08138,136.9728
20,1,-20,0,1,28.28427,RB,F,285.7469,287.489,17.80464,1.063949,-22.97591,-21.48967,2.191015,19.64838,290.6164,293.1989,135,0,142.2269,-47.56279,7.22697,-47.56279
28.28427,1,0,-28.28427,1,0,R,L,297.6308,299.5175,17.97472,3.069531,-22.84298,-29.04805,1.295152,0.3115025,301.0791,302.7138,90,-90,141.8014,-89.3856,51.80144,0.614212
20,1,-20,-20,1,20,RB,LF,307.0689,308.9578,17.08593,2.17752,-23.50678,-29.04269,0.5453715,0.6580021,310.7325,312.2853,135,-45,143.9884,-88.70211,8.988436,-43.70211
0,1,-28.28427,20,1,20,B,RF,316.8207,318.5721,16.37966,1.887369,-23.99773,18.98712,1.759161,22.02461,320.4427,321.269,180,45,145.6845,40.76418,-34.31551,-4.235818
-20,1,-20,20,1,20,LB,RF,325.052,326.9392,-21.01181,0.1446227,-20.14623,29.02853,2.746568,1.162347,327.9476,329.6855,-135,45,-133.7952,87.70702,1.20496,42.70702
